IPCC_emissions_SO2_anthropogenic_2000_0.5x0.5_v1_20_04_2009.nc;Agricultural waste burning emissions for SO2;emiss_awb
IPCC_emissions_SO2_anthropogenic_2000_0.5x0.5_v1_20_04_2009.nc;Domestic sector emissions for SO2;emiss_dom
IPCC_emissions_SO2_anthropogenic_2000_0.5x0.5_v1_20_04_2009.nc; Industrial sector emissions for SO2;emiss_ind
IPCC_emissions_SO2_anthropogenic_2000_0.5x0.5_v1_20_04_2009.nc;transportation sector emissions for SO2;emiss_tra
IPCC_emissions_SO2_anthropogenic_2000_0.5x0.5_v1_20_04_2009.nc;Waste treatment sector emissions for SO2;emiss_wst
IPCC_emissions_NO_anthropogenic_1850_0.5x0.5_v1_07_05_2009.nc;Agricultural sector emissions for NO;emiss_agr
IPCC_emissions_NO_anthropogenic_1850_0.5x0.5_v1_07_05_2009.nc;Agricultural waste burning emissions for NO;emiss_awb
IPCC_emissions_NO_anthropogenic_1850_0.5x0.5_v1_07_05_2009.nc;Residential and  commercial combustion emissions for NO;emiss_dom
IPCC_emissions_NO_anthropogenic_1850_0.5x0.5_v1_07_05_2009.nc;Energy production and distribution emissions for NO;emiss_ene
IPCC_emissions_NO_anthropogenic_1850_0.5x0.5_v1_07_05_2009.nc; Industrial processes and combustion emissions for NO;emiss_ind
IPCC_emissions_NO_anthropogenic_1850_0.5x0.5_v1_07_05_2009.nc;Land transport emissions for NO;emiss_tra
IPCC_emissions_NO_anthropogenic_1850_0.5x0.5_v1_07_05_2009.nc;waste treatment and disposal emissions for NO;emiss_wst
IPCC_emissions_NO_anthropogenic_1860_0.5x0.5_v1_07_05_2009.nc;Agricultural sector emissions for NO;emiss_agr
IPCC_emissions_NO_anthropogenic_1860_0.5x0.5_v1_07_05_2009.nc;Agricultural waste burning emissions for NO;emiss_awb
IPCC_emissions_NO_anthropogenic_1860_0.5x0.5_v1_07_05_2009.nc;Residential and  commercial combustion emissions for NO;emiss_dom
IPCC_emissions_NO_anthropogenic_1860_0.5x0.5_v1_07_05_2009.nc;Energy production and distribution emissions for NO;emiss_ene
IPCC_emissions_NO_anthropogenic_1860_0.5x0.5_v1_07_05_2009.nc; Industrial processes and combustion emissions for NO;emiss_ind
IPCC_emissions_NO_anthropogenic_1860_0.5x0.5_v1_07_05_2009.nc;Land transport emissions for NO;emiss_tra
IPCC_emissions_NO_anthropogenic_1860_0.5x0.5_v1_07_05_2009.nc;waste treatment and disposal emissions for NO;emiss_wst
IPCC_emissions_NO_anthropogenic_1870_0.5x0.5_v1_07_05_2009.nc;Agricultural sector emissions for NO;emiss_agr
IPCC_emissions_NO_anthropogenic_1870_0.5x0.5_v1_07_05_2009.nc;Agricultural waste burning emissions for NO;emiss_awb
IPCC_emissions_NO_anthropogenic_1870_0.5x0.5_v1_07_05_2009.nc;Residential and  commercial combustion emissions for NO;emiss_dom
IPCC_emissions_NO_anthropogenic_1870_0.5x0.5_v1_07_05_2009.nc;Energy production and distribution emissions for NO;emiss_ene
